# Generated by Autoplot on Thu Apr 16 06:06:41 CST 2009
Epoch (cdfEpoch), L (R_E)
2003-06-07T00:04:59.000Z, 6.8518
2003-06-07T00:15:00.000Z, 6.8428
2003-06-07T00:24:59.000Z, 6.8313
2003-06-07T00:35:00.000Z, 6.8189
2003-06-07T00:44:59.000Z, 6.8047
2003-06-07T00:55:00.000Z, 6.7883
2003-06-07T01:04:59.000Z, 6.7705
2003-06-07T01:15:00.000Z, 6.7518
2003-06-07T01:25:00.000Z, 6.7321
2003-06-07T01:34:59.000Z, 6.7114
2003-06-07T01:45:00.000Z, 6.6912
2003-06-07T01:54:59.000Z, 6.6716
2003-06-07T02:05:00.000Z, 6.6523
2003-06-07T02:14:59.000Z, 6.6338
2003-06-07T02:25:00.000Z, 6.6157
2003-06-07T02:34:59.000Z, 6.5993
2003-06-07T02:45:00.000Z, 6.5847
2003-06-07T02:55:00.000Z, 6.5716
2003-06-07T03:04:59.000Z, 6.5599
2003-06-07T03:15:00.000Z, 6.5494
2003-06-07T03:24:59.000Z, 6.5399
2003-06-07T03:35:00.000Z, 6.5325
2003-06-07T03:44:59.000Z, 6.5264
2003-06-07T03:55:00.000Z, 6.5211
2003-06-07T04:04:59.000Z, 6.5165
2003-06-07T04:15:00.000Z, 6.5124
2003-06-07T04:25:00.000Z, 6.5081
2003-06-07T04:34:59.000Z, 6.5050
2003-06-07T04:45:00.000Z, 6.5020
2003-06-07T04:54:59.000Z, 6.4990
2003-06-07T05:05:00.000Z, 6.4957
2003-06-07T05:14:59.000Z, 6.4923
2003-06-07T05:25:00.000Z, 6.4884
2003-06-07T05:34:59.000Z, 6.4852
2003-06-07T05:45:00.000Z, 6.4823
2003-06-07T05:55:00.000Z, 6.4794
2003-06-07T06:04:59.000Z, 6.4770
2003-06-07T06:15:00.000Z, 6.4746
2003-06-07T06:24:59.000Z, 6.4733
2003-06-07T06:35:00.000Z, 6.4734
2003-06-07T06:44:59.000Z, 6.4747
2003-06-07T06:55:00.000Z, 6.4773
2003-06-07T07:04:59.000Z, 6.4813
2003-06-07T07:15:00.000Z, 6.4868
2003-06-07T07:25:00.000Z, 6.4938
2003-06-07T07:34:59.000Z, 6.5020
2003-06-07T07:45:00.000Z, 6.5126
2003-06-07T07:54:59.000Z, 6.5245
2003-06-07T08:05:00.000Z, 6.5378
2003-06-07T08:14:59.000Z, 6.5522
2003-06-07T08:25:00.000Z, 6.5675
2003-06-07T08:34:59.000Z, 6.5833
2003-06-07T08:45:00.000Z, 6.5994
2003-06-07T08:55:00.000Z, 6.6153
2003-06-07T09:04:59.000Z, 6.6309
2003-06-07T09:15:00.000Z, 6.6457
2003-06-07T09:24:59.000Z, 6.6594
2003-06-07T09:35:00.000Z, 6.6719
2003-06-07T09:44:59.000Z, 6.6828
2003-06-07T09:55:00.000Z, 6.6920
2003-06-07T10:04:59.000Z, 6.6995
2003-06-07T10:15:00.000Z, 6.7053
2003-06-07T10:25:00.000Z, 6.7094
2003-06-07T10:34:59.000Z, 6.7121
2003-06-07T10:45:00.000Z, 6.7136
2003-06-07T10:54:59.000Z, 6.7143
2003-06-07T11:05:00.000Z, 6.7154
2003-06-07T11:14:59.000Z, 6.7156
2003-06-07T11:25:00.000Z, 6.7162
2003-06-07T11:34:59.000Z, 6.7175
2003-06-07T11:45:00.000Z, 6.7202
2003-06-07T11:55:00.000Z, 6.7244
2003-06-07T12:04:59.000Z, 6.7307
2003-06-07T12:15:00.000Z, 6.7391
2003-06-07T12:24:59.000Z, 6.7500
2003-06-07T12:35:00.000Z, 6.7634
2003-06-07T12:44:59.000Z, 6.7793
2003-06-07T12:55:00.000Z, 6.7977
2003-06-07T13:04:59.000Z, 6.8181
2003-06-07T13:15:00.000Z, 6.8405
2003-06-07T13:25:00.000Z, 6.8647
2003-06-07T13:34:59.000Z, 6.8900
2003-06-07T13:45:00.000Z, 6.9151
2003-06-07T13:54:59.000Z, 6.9398
2003-06-07T14:05:00.000Z, 6.9637
2003-06-07T14:14:59.000Z, 6.9858
2003-06-07T14:25:00.000Z, 7.0058
2003-06-07T14:34:59.000Z, 7.0230
2003-06-07T14:45:00.000Z, 7.0371
2003-06-07T14:55:00.000Z, 7.0478
2003-06-07T15:04:59.000Z, 7.0550
2003-06-07T15:15:00.000Z, 7.0588
2003-06-07T15:35:00.000Z, 7.0572
2003-06-07T15:44:59.000Z, 7.0529
2003-06-07T15:55:00.000Z, 7.0469
2003-06-07T16:04:59.000Z, 7.0402
2003-06-07T16:15:00.000Z, 7.0334
2003-06-07T16:25:00.000Z, 7.0272
2003-06-07T16:34:59.000Z, 7.0222
2003-06-07T16:45:00.000Z, 7.0191
2003-06-07T16:54:59.000Z, 7.0180
2003-06-07T17:05:00.000Z, 7.0193
2003-06-07T17:14:59.000Z, 7.0229
2003-06-07T17:25:00.000Z, 7.0304
2003-06-07T17:34:59.000Z, 7.0396
2003-06-07T17:45:00.000Z, 7.0491
2003-06-07T17:55:00.000Z, 7.0602
2003-06-07T18:04:59.000Z, 7.0722
2003-06-07T18:15:00.000Z, 7.0817
2003-06-07T18:24:59.000Z, 7.0929
2003-06-07T18:35:00.000Z, 7.1012
2003-06-07T18:44:59.000Z, 7.1075
2003-06-07T18:55:00.000Z, 7.1118
2003-06-07T19:04:59.000Z, 7.1119
2003-06-07T19:15:00.000Z, 7.1103
2003-06-07T19:25:00.000Z, 7.1046
2003-06-07T19:34:59.000Z, 7.0952
2003-06-07T19:45:00.000Z, 7.0845
2003-06-07T19:54:59.000Z, 7.0707
2003-06-07T20:05:00.000Z, 7.0542
2003-06-07T20:14:59.000Z, 7.0363
2003-06-07T20:25:00.000Z, 7.0184
2003-06-07T20:34:59.000Z, 7.0001
2003-06-07T20:45:00.000Z, 6.9811
2003-06-07T20:55:00.000Z, 6.9629
2003-06-07T21:04:59.000Z, 6.9457
2003-06-07T21:15:00.000Z, 6.9298
2003-06-07T21:24:59.000Z, 6.9157
2003-06-07T21:35:00.000Z, 6.9037
2003-06-07T21:44:59.000Z, 6.8944
2003-06-07T21:55:00.000Z, 6.8866
2003-06-07T22:04:59.000Z, 6.8805
2003-06-07T22:15:00.000Z, 6.8754
2003-06-07T22:25:00.000Z, 6.8724
2003-06-07T22:34:59.000Z, 6.8708
2003-06-07T22:45:00.000Z, 6.8702
2003-06-07T22:54:59.000Z, 6.8700
2003-06-07T23:05:00.000Z, 6.8700
2003-06-07T23:14:59.000Z, 6.8698
2003-06-07T23:25:00.000Z, 6.8688
2003-06-07T23:34:59.000Z, 6.8669
2003-06-07T23:45:00.000Z, 6.8636
